,a10,a10_19,a20_29,a30_39,a40_49,a50_59,a60_69,a70
2021-08-23,1515,3176,3232,2654,1944,972,1097,647
2021-08-24,1506,3313,3219,2796,1976,1060,1139,638
2021-08-25,1546,3466,3479,2966,2119,1089,1175,788
2021-08-26,1698,3577,3421,3023,2130,1064,1268,738
2021-08-27,1743,3533,3237,2856,2171,1100,1279,761
2021-08-28,1785,3532,3279,2842,2016,1094,1317,755
2021-08-29,1524,3333,2910,2400,1745,1046,1149,699
2021-08-30,1459,3141,2874,2435,1663,941,1119,656
2021-08-31,1263,2955,2739,2381,1692,917,910,634
2021-09-01,1404,3058,2891,2310,1688,930,1112,640
2021-09-02,1501,3032,2971,2362,1720,938,1188,651
2021-09-03,1492,2947,2710,2341,1675,927,1138,660
2021-09-04,1621,3385,3124,2514,1806,1021,1187,646
2021-09-05,1654,2992,2684,2401,1802,997,1125,675
2021-09-06,1537,2810,2552,2145,1515,813,1079,555
2021-09-07,1329,2738,2610,2117,1700,831,1015,597
2021-09-08,1309,2998,2756,2187,1599,847,1115,566
2021-09-09,1509,4045,2960,2433,1657,971,1120,609
2021-09-10,1424,2955,2721,2311,1644,854,1190,610
2021-09-11,1488,3197,2965,2295,1653,915,1180,655
2021-09-12,1580,2885,2594,2147,1503,807,1123,583
2021-09-13,1345,2569,2298,1859,1362,824,1059,600
2021-09-14,1204,2548,2210,1893,1305,684,959,501
2021-09-15,1389,2839,2661,2195,1559,872,1143,564
2021-09-16,1371,2743,2569,2174,1491,840,1160,525
2021-09-17,1564,3118,2859,2263,1726,833,1141,554
2021-09-18,1405,3046,2642,2152,1480,803,1172,528
2021-09-19,1566,2794,2450,1957,1528,804,1201,545
2021-09-20,1370,2655,2516,1873,1369,718,1109,480
2021-09-21,1175,2177,2073,1686,1264,665,909,511
2021-09-22,1197,2030,2008,1597,1345,740,1028,519
2021-09-23,1372,2718,2538,1939,1406,688,1151,528
2021-09-24,1393,2522,2282,1985,1378,686,1166,523
2021-09-25,1399,2362,2116,1703,1283,663,1134,511
2021-09-26,1499,2491,2281,1786,1288,659,1061,482
2021-09-27,1243,1980,1874,1523,1124,552,962,414
2021-09-28,1027,1753,1626,1293,993,515,898,366
2021-09-29,1140,1973,1833,1444,1100,567,1016,398
2021-09-30,1442,2348,2099,1717,1201,709,1098,474
2021-10-01,1380,2410,2149,1761,1189,626,1161,458
2021-10-02,1353,2188,1918,1572,1165,639,1069,430
2021-10-03,1398,1958,1862,1501,1150,621,1118,413
2021-10-04,1220,1798,1658,1349,1004,519,965,402
2021-10-05,1183,1994,1787,1360,1054,599,907,355
2021-10-06,1217,1889,1746,1392,1090,561,981,421
2021-10-07,1195,2019,1807,1464,1056,583,1089,407
2021-10-08,1331,2212,1982,1562,1226,555,1058,410
2021-10-09,1293,1958,1745,1435,1090,623,1148,400
2021-10-10,1336,1856,1781,1439,1141,676,1124,408
2021-10-11,1188,1801,1670,1364,960,550,1032,405
2021-10-12,1149,1748,1590,1294,1009,531,927,409
2021-10-13,1175,1745,1649,1349,1115,555,1022,439
2021-10-14,1378,1989,1822,1428,1160,656,1164,476
2021-10-15,1266,1972,1683,1353,1091,589,1083,385
2021-10-16,1373,1902,1761,1441,1093,595,1091,402
2021-10-17,1388,1916,1731,1413,1122,622,1227,420
2021-10-18,1125,1807,1598,1242,1028,584,1005,392
2021-10-19,1127,1678,1480,1205,926,505,935,364
2021-10-20,1057,1542,1442,1091,891,498,944,357
2021-10-21,1137,1725,1567,1221,932,520,982,366
2021-10-22,1077,1880,1544,1204,912,562,1022,337
2021-10-23,1072,1860,1588,1292,937,500,884,386
2021-10-24,1105,1689,1509,1139,985,540,1019,334
2021-10-25,959,1516,1455,1095,864,487,801,340
2021-10-26,964,1380,1221,1001,842,457,818,322
2021-10-27,951,1550,1370,1113,835,535,887,349
2021-10-28,1035,1817,1599,1346,983,575,939,341
2021-10-29,1019,1588,1480,1124,956,516,904,360
2021-10-30,1074,1639,1459,1230,938,492,1039,322
2021-10-31,1025,1526,1370,1078,837,475,885,322
2021-11-01,895,1568,1371,1089,787,446,850,330
2021-11-02,768,1407,1318,959,699,452,781,285
2021-11-03,742,1289,1155,920,773,428,819,334
2021-11-04,896,1445,1279,1034,827,426,843,294
2021-11-05,826,1656,1475,984,736,447,838,331
2021-11-06,830,1621,1514,1123,839,441,792,321
2021-11-07,759,1471,1399,1001,803,470,827,321
2021-11-08,674,1475,1354,1010,775,477,715,331
2021-11-09,709,1118,1068,830,651,450,783,286
2021-11-10,681,1146,1064,863,702,438,746,324
